yi,vi,study,intervention,comparison,outcome_domain,outcome_measure,outcome_metric,outcome_aggregation,outcome_timepoint,baseline_intervention_n,baseline_comparison_n,followup_intervention_n,followup_comparison_n,baseline_intervention_mean,baseline_intervention_sd,baseline_comparison_mean,baseline_comparison_sd,followup_intervention_mean,followup_intervention_sd,followup_comparison_mean,followup_comparison_sd,intervention_beneficial,intervention_harmful,comparison_beneficial,comparison_harmful,es_ttest,es_ttest_pvalue,es_ftest,es_chi_test,es_chi_pvalue,es_or,es_lower_ci,es_upper_ci,cluster,average_cluster_size,icc,design_effect,baseline_intervention_n_ess,baseline_comparison_n_ess,followup_intervention_n_ess,followup_comparison_n_ess,intervention_beneficial_ess,intervention_harmful_ess,comparison_beneficial_ess,comparison_harmful_ess,RCT,es_unstandardized_regression,high_rob,baseline_depression,secondary_school,public_school,united_states,primary_prevention,tau_comparator,publication_year,study_author_name,study_author_email,study_author_institute,study_publication_year,study_start_date,study_end_date,study_groups,recruitment_approach,eligibility_criteria,number_participants,number_classrooms,number_schools,average_age,age_average_type,age_dispersion,age_dispersion_type,grade_level,school_level,percent_black,percent_aian,percent_asian,percent_nhpi,percent_latinx,percent_mixed,percent_other,percent_ELL,percent_FRPL,country,state,urbanicity,school_type,consort_flow_diagram,research_design,assignment_level,cluster_type,cluster_size,study_registration,availability_statement,rob_tool,overall_rating,percent_white,percent_female,urbanicity_clean,processed_grades,processed_school_types,processed_outcome_measure_roots,processed_intervention_roots,yi_raw,vi_raw,row_id,has_2x2,has_chi,cat_smd_method
0.8201932747090678,0.7377582456427301,Arnarson 2009,Prevention Program,Assessment-Only Control,Depression Diagnosis,"Structured Clinical Interviews (Child Assessment Scale, A-Life)",Value at Time Point,Categorical,0,81,90,69,80,NA,NA,NA,NA,NA,NA,NA,NA,69,0,78,2,NA,NA,NA,NA,NA,NA,NA,NA,No,1,0,1,81,90,69,80,69,0,78,2,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,W. Edward Craighead,ecraigh@emory.edu,Emory University,2009,2001,2006,2,"Soon after the beginning of each school year, 9th grade (ages 14–15) students were asked to complete the CDI and CASQ in classroom screening sessions. The school psychologists informed the parents of anyone who scored over the 90th percentile on the CDI that their child was at considerable risk for clinical problems, and they were offered referrals to the Icelandic mental health system for further evaluation and/or treatment. Those who met the screening criteria and who agreed to participate were then interviewed to identify those who had a previous or current MDD, dysthymia, or other psychiatric disorders. Parents were informed and appropriate clinical referrals were offered when a student was diagnosed with current MDD, current substance abuse or dependence, psychotic symptoms, OCD, anorexia, or reported serious suicidal ideation or plans; no participants met criteria for dysthymia at the time of the initial interview. No significant problems were encountered with this system, and parents and school officials expressed satisfaction with this procedure, which they viewed as a valuable service.","Participants were selected as being “at risk” and invited for further participation if they scored between the 75th and 90th percentile on CDI or at the 75th percentile or higher on the negative composite of the CASQ (subjects who met one or both of these two criteria included all subjects who scored at the 75th percentile or higher on the CASQ-Positive Composite). We did not include individuals who scored higher than the 90th percentile on the CDI in the preliminary studies (even though they likely have the highest risk for development of MDD) because our primary purposes were program development and evaluation of the feasibility of implementation of the program. Furthermore, we did not have adequate psychiatric coverage to assure treatment as part of the project for individuals who were diagnosed with MDD at the pretest, and the rate of MDD is highest among individuals who score in the top 10% on the CDI (Kovacs, 1992).

During the earlier pilot work and based on both ethical and practical reasons, it was decided to exclude students who met criteria for any major depression, dysthymia, bipolar disorder I or II, cyclothymia, anorexia, bulimia, psychotic disorder, alcohol or substance dependence, ADHD, ODD, or conduct disorder",171,-999,-999,14,4. Cannot tell,14 to 15,5. Range,9,3. High School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Iceland,64. Non-US Study,4. Cannot tell,Cannot Tell,No,1. Randomized trial,1. Individual,-999,-999,-999,-999,iROB,Some Concerns,-999,0.52,Unclear,9,Unclear,Structured Clinical Interviews,Prevention Program,-1.463484,2.3733686067,1,TRUE,FALSE,from_2x2
1.2253518383268704,0.3441023275237856,Arnarson 2009,Prevention Program,Assessment-Only Control,Depression Diagnosis,"Structured Clinical Interviews (Child Assessment Scale, A-Life)",Value at Time Point,Categorical,26.1,81,90,61,75,NA,NA,NA,NA,NA,NA,NA,NA,60,1,65,10,NA,NA,NA,NA,NA,NA,NA,NA,No,1,0,1,81,90,61,75,60,1,65,10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,W. Edward Craighead,ecraigh@emory.edu,Emory University,2009,2001,2006,2,"Soon after the beginning of each school year, 9th grade (ages 14–15) students were asked to complete the CDI and CASQ in classroom screening sessions. The school psychologists informed the parents of anyone who scored over the 90th percentile on the CDI that their child was at considerable risk for clinical problems, and they were offered referrals to the Icelandic mental health system for further evaluation and/or treatment. Those who met the screening criteria and who agreed to participate were then interviewed to identify those who had a previous or current MDD, dysthymia, or other psychiatric disorders. Parents were informed and appropriate clinical referrals were offered when a student was diagnosed with current MDD, current substance abuse or dependence, psychotic symptoms, OCD, anorexia, or reported serious suicidal ideation or plans; no participants met criteria for dysthymia at the time of the initial interview. No significant problems were encountered with this system, and parents and school officials expressed satisfaction with this procedure, which they viewed as a valuable service.","Participants were selected as being “at risk” and invited for further participation if they scored between the 75th and 90th percentile on CDI or at the 75th percentile or higher on the negative composite of the CASQ (subjects who met one or both of these two criteria included all subjects who scored at the 75th percentile or higher on the CASQ-Positive Composite). We did not include individuals who scored higher than the 90th percentile on the CDI in the preliminary studies (even though they likely have the highest risk for development of MDD) because our primary purposes were program development and evaluation of the feasibility of implementation of the program. Furthermore, we did not have adequate psychiatric coverage to assure treatment as part of the project for individuals who were diagnosed with MDD at the pretest, and the rate of MDD is highest among individuals who score in the top 10% on the CDI (Kovacs, 1992).

During the earlier pilot work and based on both ethical and practical reasons, it was decided to exclude students who met criteria for any major depression, dysthymia, bipolar disorder I or II, cyclothymia, anorexia, bulimia, psychotic disorder, alcohol or substance dependence, ADHD, ODD, or conduct disorder",171,-999,-999,14,4. Cannot tell,14 to 15,5. Range,9,3. High School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Iceland,64. Non-US Study,4. Cannot tell,Cannot Tell,No,1. Randomized trial,1. Individual,-999,-999,-999,-999,iROB,Some Concerns,-999,0.52,Unclear,9,Unclear,Structured Clinical Interviews,Prevention Program,-2.095971,1.070273224,2,TRUE,FALSE,from_2x2
1.0319786266392608,0.18777026262131827,Arnarson 2009,Prevention Program,Assessment-Only Control,Depression Diagnosis,"Structured Clinical Interviews (Child Assessment Scale, A-Life)",Value at Time Point,Categorical,52.1,81,90,51,62,NA,NA,NA,NA,NA,NA,NA,NA,49,2,49,13,NA,NA,NA,NA,NA,NA,NA,NA,No,1,0,1,81,90,51,62,49,2,49,13,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,W. Edward Craighead,ecraigh@emory.edu,Emory University,2009,2001,2006,2,"Soon after the beginning of each school year, 9th grade (ages 14–15) students were asked to complete the CDI and CASQ in classroom screening sessions. The school psychologists informed the parents of anyone who scored over the 90th percentile on the CDI that their child was at considerable risk for clinical problems, and they were offered referrals to the Icelandic mental health system for further evaluation and/or treatment. Those who met the screening criteria and who agreed to participate were then interviewed to identify those who had a previous or current MDD, dysthymia, or other psychiatric disorders. Parents were informed and appropriate clinical referrals were offered when a student was diagnosed with current MDD, current substance abuse or dependence, psychotic symptoms, OCD, anorexia, or reported serious suicidal ideation or plans; no participants met criteria for dysthymia at the time of the initial interview. No significant problems were encountered with this system, and parents and school officials expressed satisfaction with this procedure, which they viewed as a valuable service.","Participants were selected as being “at risk” and invited for further participation if they scored between the 75th and 90th percentile on CDI or at the 75th percentile or higher on the negative composite of the CASQ (subjects who met one or both of these two criteria included all subjects who scored at the 75th percentile or higher on the CASQ-Positive Composite). We did not include individuals who scored higher than the 90th percentile on the CDI in the preliminary studies (even though they likely have the highest risk for development of MDD) because our primary purposes were program development and evaluation of the feasibility of implementation of the program. Furthermore, we did not have adequate psychiatric coverage to assure treatment as part of the project for individuals who were diagnosed with MDD at the pretest, and the rate of MDD is highest among individuals who score in the top 10% on the CDI (Kovacs, 1992).

During the earlier pilot work and based on both ethical and practical reasons, it was decided to exclude students who met criteria for any major depression, dysthymia, bipolar disorder I or II, cyclothymia, anorexia, bulimia, psychotic disorder, alcohol or substance dependence, ADHD, ODD, or conduct disorder",171,-999,-999,14,4. Cannot tell,14 to 15,5. Range,9,3. High School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Iceland,64. Non-US Study,4. Cannot tell,Cannot Tell,No,1. Randomized trial,1. Individual,-999,-999,-999,-999,iROB,Some Concerns,-999,0.52,Unclear,9,Unclear,Structured Clinical Interviews,Prevention Program,-1.676493,0.5411862015,3,TRUE,FALSE,from_2x2
1.1201222201720806,0.7121751380425067,Briere 2019,Cognitive-Behavioral (CB) Group Program,Educational Brochure Control,Depression Diagnosis,Structured Clinical Interview for DSM-IV Disorders,Value at Time Point,Categorical,0,37,37,36,36,NA,NA,NA,NA,NA,NA,NA,NA,36,0,33,3,NA,NA,NA,NA,NA,NA,NA,NA,No,1,0,1,37,37,36,36,36,0,33,3,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frédéric N. Brière,frederic.nault-briere@umontreal.ca,University of Montreal,2019,2016,-999,2,"""Participants were 74 secondary school students (66%
female) aged 14–18 (M = 15.50; SD = 1.12) from three
large public French secondary schools located in disadvantaged
areas of Montreal, Canada. Sample characteristics are
reported in Table 1. Participants were recruited in Spring
2016. Research assistants toured all classes to briefly present
the study and set up a booth to inform and recruit participants
during lunch time. Posters were hung on school walls.
School staff were also instructed to encourage participants
to contact the research team if they thought the study could
be relevant for them. Interested participants completed the
Center for Epidemiologic Studies-Depression (CES-D)
screener (Radloff, 1977) and, as in the previous efficacy trial
(Stice et al., 2008), those with scores of 20 or above were
invited to participate in a pretest interview with a research
assistant at their school. The CES-D is further described in
measures. Students with current MDD were excluded and
offered referrals to external resources.""","""Students with current MDD were excluded and
offered referrals to external resources""",74,-999,3,15.5,1. Mean,1.1200000000000001,1. Standard deviation,Cannot tell,5. Only Reported Secondary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Canada,64. Non-US Study,1. Rural,Public,Yes,1. Randomized trial,1. Individual,-999,-999,-999,-999,iROB,Some Concerns,-999,0.66,Rural,Unclear,Public,Structured Clinical Interview for DSM-IV Disorders,Cognitive-Behavioral Program Interventions,-1.94591,2.2316602317,4,TRUE,FALSE,from_2x2
0.9910082555883661,0.38392243575214885,Briere 2019,Cognitive-Behavioral (CB) Group Program,Educational Brochure Control,Depression Diagnosis,Structured Clinical Interview for DSM-IV Disorders,Value at Time Point,Categorical,26.1,37,37,36,34,NA,NA,NA,NA,NA,NA,NA,NA,35,1,29,5,NA,NA,NA,NA,NA,NA,NA,NA,No,1,0,1,37,37,36,34,35,1,29,5,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frédéric N. Brière,frederic.nault-briere@umontreal.ca,University of Montreal,2019,2016,-999,2,"""Participants were 74 secondary school students (66%
female) aged 14–18 (M = 15.50; SD = 1.12) from three
large public French secondary schools located in disadvantaged
areas of Montreal, Canada. Sample characteristics are
reported in Table 1. Participants were recruited in Spring
2016. Research assistants toured all classes to briefly present
the study and set up a booth to inform and recruit participants
during lunch time. Posters were hung on school walls.
School staff were also instructed to encourage participants
to contact the research team if they thought the study could
be relevant for them. Interested participants completed the
Center for Epidemiologic Studies-Depression (CES-D)
screener (Radloff, 1977) and, as in the previous efficacy trial
(Stice et al., 2008), those with scores of 20 or above were
invited to participate in a pretest interview with a research
assistant at their school. The CES-D is further described in
measures. Students with current MDD were excluded and
offered referrals to external resources.""","""Students with current MDD were excluded and
offered referrals to external resources""",74,-999,3,15.5,1. Mean,1.1200000000000001,1. Standard deviation,Cannot tell,5. Only Reported Secondary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Canada,64. Non-US Study,1. Rural,Public,Yes,1. Randomized trial,1. Individual,-999,-999,-999,-999,iROB,Some Concerns,-999,0.66,Rural,Unclear,Public,Structured Clinical Interview for DSM-IV Disorders,Cognitive-Behavioral Program Interventions,-1.666596,1.1428104575,5,TRUE,FALSE,from_2x2
0.8967008815163782,0.19773487656813052,Johnstone 2014,Aussie Optimism Program,Control Group,Depression Diagnosis,"Diagnostic Interview for Children and Adolescents, IV (Incidence)",Value at Time Point,Categorical,0,91,78,91,78,NA,NA,NA,NA,NA,NA,NA,NA,89,2,70,8,NA,NA,NA,NA,NA,NA,NA,NA,Yes,41.4,0.01,1.404,64.81481481481482,55.55555555555556,64.81481481481482,55.55555555555556,63.390313390313395,1.4245014245014247,49.85754985754986,5.698005698005699,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rosanna Rooney,r.rooney@psychology.curtin.edu.au,Curtin University,2013,-999,-999,2,"""Twelve schools were randomly selected from the largest (top
50%) and poorest (bottom 30%) schools in the WA Department of
Education and Training Schools Database, which sampled schools
from the districts of Swan and Canning. Each of the 12 schools was
then matched to another school in the data base in terms of SES,
class size, and school size. Informed consent was obtained from 22
of the 24 schools (11 matched pairs). Active and passive consent of
children and parentswas sought after the study was fully explained
to them via information and consent forms. The first information
and consent form required the active consent of participants, while
those not responding to the first form were sent an additional information
and consent form one week later seeking passive consent.
This activeepassive consent process was aimed at increasing
participation rates. Moreover, past researchers (e.g. Henry, Smith, &
Hopkins, 2002) have found that those children whose parents do
not respond to active consent procedures may be more at risk of
mental health problems than those who do return the forms, thus
suggesting that the employment of an active consent only procedure
may reduce the representativeness of the resulting sample.
This activeepassive consent process resulted in parental consent
being refused for 111 children. The universal program was
completed by all available consenting students within the classroom
as part of their regular Health Education class.""",-999,910,-999,24,8.75,1. Mean,0.36,1. Standard deviation,4,1. Elementary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Australia,64. Non-US Study,3. Urban,Public,Yes,1. Randomized trial,2. Cluster,2. School,-999,-999,-999,cROB,Some Concerns,-999,0.49,Urban,4,Public,Diagnostic Interview,Aussie Optimism Program Interventions,-1.540445,0.8440714286,6,TRUE,FALSE,from_2x2
-0.16204252134938085,0.14276217707617594,Johnstone 2014,Aussie Optimism Program,Control Group,Depression Diagnosis,"Diagnostic Interview for Children and Adolescents, IV (Recovery)",Value at Time Point,Categorical,0,37,27,37,27,NA,NA,NA,NA,NA,NA,NA,NA,30,7,23,4,NA,NA,NA,NA,NA,NA,NA,NA,Yes,41.4,0.01,1.404,26.353276353276353,19.230769230769234,26.353276353276353,19.230769230769234,21.36752136752137,4.985754985754986,16.381766381766383,2.8490028490028494,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rosanna Rooney,r.rooney@psychology.curtin.edu.au,Curtin University,2013,-999,-999,2,"""Twelve schools were randomly selected from the largest (top
50%) and poorest (bottom 30%) schools in the WA Department of
Education and Training Schools Database, which sampled schools
from the districts of Swan and Canning. Each of the 12 schools was
then matched to another school in the data base in terms of SES,
class size, and school size. Informed consent was obtained from 22
of the 24 schools (11 matched pairs). Active and passive consent of
children and parentswas sought after the study was fully explained
to them via information and consent forms. The first information
and consent form required the active consent of participants, while
those not responding to the first form were sent an additional information
and consent form one week later seeking passive consent.
This activeepassive consent process was aimed at increasing
participation rates. Moreover, past researchers (e.g. Henry, Smith, &
Hopkins, 2002) have found that those children whose parents do
not respond to active consent procedures may be more at risk of
mental health problems than those who do return the forms, thus
suggesting that the employment of an active consent only procedure
may reduce the representativeness of the resulting sample.
This activeepassive consent process resulted in parental consent
being refused for 111 children. The universal program was
completed by all available consenting students within the classroom
as part of their regular Health Education class.""",-999,910,-999,24,8.75,1. Mean,0.36,1. Standard deviation,4,1. Elementary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Australia,64. Non-US Study,3. Urban,Public,Yes,1. Randomized trial,2. Cluster,2. School,-999,-999,-999,cROB,Some Concerns,-999,0.49,Urban,4,Public,Diagnostic Interview,Aussie Optimism Program Interventions,0.2445347,0.4616254826,7,TRUE,FALSE,from_2x2
0.25413714593534004,0.1848738181876931,Johnstone 2014,Aussie Optimism Program,Control Group,Depression Diagnosis,"Diagnostic Interview for Children and Adolescents, IV (Incidence)",Value at Time Point,Categorical,26.1,91,78,91,78,NA,NA,NA,NA,NA,NA,NA,NA,88,3,74,4,NA,NA,NA,NA,NA,NA,NA,NA,Yes,41.4,0.01,1.404,64.81481481481482,55.55555555555556,64.81481481481482,55.55555555555556,62.67806267806268,2.1367521367521367,52.706552706552706,2.8490028490028494,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rosanna Rooney,r.rooney@psychology.curtin.edu.au,Curtin University,2013,-999,-999,2,"""Twelve schools were randomly selected from the largest (top
50%) and poorest (bottom 30%) schools in the WA Department of
Education and Training Schools Database, which sampled schools
from the districts of Swan and Canning. Each of the 12 schools was
then matched to another school in the data base in terms of SES,
class size, and school size. Informed consent was obtained from 22
of the 24 schools (11 matched pairs). Active and passive consent of
children and parentswas sought after the study was fully explained
to them via information and consent forms. The first information
and consent form required the active consent of participants, while
those not responding to the first form were sent an additional information
and consent form one week later seeking passive consent.
This activeepassive consent process was aimed at increasing
participation rates. Moreover, past researchers (e.g. Henry, Smith, &
Hopkins, 2002) have found that those children whose parents do
not respond to active consent procedures may be more at risk of
mental health problems than those who do return the forms, thus
suggesting that the employment of an active consent only procedure
may reduce the representativeness of the resulting sample.
This activeepassive consent process resulted in parental consent
being refused for 111 children. The universal program was
completed by all available consenting students within the classroom
as part of their regular Health Education class.""",-999,910,-999,24,8.75,1. Mean,0.36,1. Standard deviation,4,1. Elementary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Australia,64. Non-US Study,3. Urban,Public,Yes,1. Randomized trial,2. Cluster,2. School,-999,-999,-999,cROB,Some Concerns,-999,0.49,Urban,4,Public,Diagnostic Interview,Aussie Optimism Program Interventions,-0.4418328,0.7855714286,8,TRUE,FALSE,from_2x2
-0.05401943031420693,0.27440160558195476,Johnstone 2014,Aussie Optimism Program,Control Group,Depression Diagnosis,"Diagnostic Interview for Children and Adolescents, IV (Recovery)",Value at Time Point,Categorical,26.1,37,27,37,27,NA,NA,NA,NA,NA,NA,NA,NA,34,3,25,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,41.4,0.01,1.404,26.353276353276353,19.230769230769234,26.353276353276353,19.230769230769234,24.216524216524217,2.1367521367521367,17.806267806267808,1.4245014245014247,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rosanna Rooney,r.rooney@psychology.curtin.edu.au,Curtin University,2013,-999,-999,2,"""Twelve schools were randomly selected from the largest (top
50%) and poorest (bottom 30%) schools in the WA Department of
Education and Training Schools Database, which sampled schools
from the districts of Swan and Canning. Each of the 12 schools was
then matched to another school in the data base in terms of SES,
class size, and school size. Informed consent was obtained from 22
of the 24 schools (11 matched pairs). Active and passive consent of
children and parentswas sought after the study was fully explained
to them via information and consent forms. The first information
and consent form required the active consent of participants, while
those not responding to the first form were sent an additional information
and consent form one week later seeking passive consent.
This activeepassive consent process was aimed at increasing
participation rates. Moreover, past researchers (e.g. Henry, Smith, &
Hopkins, 2002) have found that those children whose parents do
not respond to active consent procedures may be more at risk of
mental health problems than those who do return the forms, thus
suggesting that the employment of an active consent only procedure
may reduce the representativeness of the resulting sample.
This activeepassive consent process resulted in parental consent
being refused for 111 children. The universal program was
completed by all available consenting students within the classroom
as part of their regular Health Education class.""",-999,910,-999,24,8.75,1. Mean,0.36,1. Standard deviation,4,1. Elementary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Australia,64. Non-US Study,3. Urban,Public,Yes,1. Randomized trial,2. Cluster,2. School,-999,-999,-999,cROB,Some Concerns,-999,0.49,Urban,4,Public,Diagnostic Interview,Aussie Optimism Program Interventions,0.09038406,1.0800540541,9,TRUE,FALSE,from_2x2
0,0.10192428592592313,Johnstone 2014,Aussie Optimism Program,Control Group,Depression Diagnosis,"Diagnostic Interview for Children and Adolescents, IV (Incidence)",Value at Time Point,Categorical,78.2,91,78,91,78,NA,NA,NA,NA,NA,NA,NA,NA,84,7,72,6,NA,NA,NA,NA,NA,NA,NA,NA,Yes,41.4,0.01,1.404,64.81481481481482,55.55555555555556,64.81481481481482,55.55555555555556,59.82905982905983,4.985754985754986,51.282051282051285,4.273504273504273,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rosanna Rooney,r.rooney@psychology.curtin.edu.au,Curtin University,2013,-999,-999,2,"""Twelve schools were randomly selected from the largest (top
50%) and poorest (bottom 30%) schools in the WA Department of
Education and Training Schools Database, which sampled schools
from the districts of Swan and Canning. Each of the 12 schools was
then matched to another school in the data base in terms of SES,
class size, and school size. Informed consent was obtained from 22
of the 24 schools (11 matched pairs). Active and passive consent of
children and parentswas sought after the study was fully explained
to them via information and consent forms. The first information
and consent form required the active consent of participants, while
those not responding to the first form were sent an additional information
and consent form one week later seeking passive consent.
This activeepassive consent process was aimed at increasing
participation rates. Moreover, past researchers (e.g. Henry, Smith, &
Hopkins, 2002) have found that those children whose parents do
not respond to active consent procedures may be more at risk of
mental health problems than those who do return the forms, thus
suggesting that the employment of an active consent only procedure
may reduce the representativeness of the resulting sample.
This activeepassive consent process resulted in parental consent
being refused for 111 children. The universal program was
completed by all available consenting students within the classroom
as part of their regular Health Education class.""",-999,910,-999,24,8.75,1. Mean,0.36,1. Standard deviation,4,1. Elementary School,-999,-999,-999,-999,-999,-999,-999,-999,-999,Australia,64. Non-US Study,3. Urban,Public,Yes,1. Randomized trial,2. Cluster,2. School,-999,-999,-999,cROB,Some Concerns,-999,0.49,Urban,4,Public,Diagnostic Interview,Aussie Optimism Program Interventions,4.440892e-16,0.4011428571,10,TRUE,FALSE,from_2x2
